,function,run,steps,order,order error,rate,rate error
0,waves_1,0,63,0.760411353947738,0.016638589364369242,0.9959384376343646,1.005626598294485
1,waves_1,1,6,0.6356185400604291,0.2125747901041787,0.9972599852647291,1.006196655441201
2,waves_1,2,112,0.9245533398908666,0.006027734417133429,0.9954691147273638,1.0027356217623582
3,waves_1,3,1000000,0.9288394652525076,0.00014482977782092604,1.0001586795246324,1.0000011479937554
4,waves_1,4,1000000,0.9176656032322231,0.00014172098506759397,1.000142988872446,1.0000009980044962
5,waves_1,5,1000000,0.8872722927309735,0.00022065394411408256,1.0002627255096657,1.0000013349265475
6,waves_1,6,1000000,0.9950449183253969,2.729599347536885e-05,1.0000063560644201,1.000000720751103
7,waves_1,7,1000000,0.9919231676576376,3.300284975820475e-05,1.0000101741681122,1.0000006814289504
8,waves_1,8,1000000,0.8960502319831223,0.00017298764536877566,1.0001808462198651,1.0000010382294866
9,waves_1,9,1000000,0.931916063857594,0.00013699576966677226,1.0001494542803244,1.0000011264928281
10,waves_2,0,479,0.9255661081187363,0.0008042263292624324,1.0005286524245809,1.0000976695160688
11,waves_2,1,30,0.11052406320756016,0.005827801144670757,1.0012266276436064,1.0005968016571412
12,waves_2,2,187,0.7006872302601439,0.006494442773195347,1.0012421772156956,1.000342175826679
13,waves_2,3,1000000,0.9974631886484463,1.2119535726375586e-05,1.0000000706595895,1.0000004196280667
14,waves_2,4,1000000,0.9386967901733807,0.00010315956642005911,1.0000392721582168,1.000000704347308
15,waves_2,5,143,0.4241811159621072,0.007965085949215404,1.0038763914817725,1.001119784748443
16,waves_2,6,161,0.6236981564580012,0.010644715753095993,1.00157303979466,1.0017574889272638
17,waves_2,7,1000000,0.9987546426915683,9.173554506225137e-06,0.9999995596626473,1.0000004595504535
18,waves_2,8,308,0.6518972841335552,0.007872233100582387,1.002999141997122,1.0007423560482558
19,waves_2,9,149,0.6607577125138491,0.006186511647413442,1.002022776318402,1.0006155823787342
20,f_waves_1,0,9690,0.9944700222727252,4.642376265995872e-05,1.0001115175341593,1.0000079814344602
21,f_waves_1,1,847,0.9214902451697935,0.0014018567529539817,1.0006743045556814,1.000114884211293
22,f_waves_1,2,498,0.9717989949806369,0.0004540744656396104,0.9995279822947407,1.0001565689565277
23,f_waves_1,3,16226,0.9963380167028916,2.8740303144803133e-05,1.0000665893832017,1.0000038348064606
24,f_waves_1,4,182,0.816158096519478,0.0012498878699291136,1.0011218031188642,1.0002345328858366
25,f_waves_1,5,150159,0.9998302892824171,3.3717815156916185e-07,1.0000064201310388,1.0000001427994094
26,f_waves_1,6,30,0.130704424888427,0.005460009959625211,1.0014803280986508,1.0007473156215263
27,f_waves_1,7,432,0.9638450499515774,0.0005289641642472977,0.999573422159176,1.0001736462666315
28,f_waves_1,8,432,0.912972159505386,0.0007301469752901874,1.0007541101156745,1.000126506133695
29,f_waves_1,9,2734,0.973103819946102,0.0003990053915596118,1.0002242289735817,1.0000243431434575
30,p-norm_inf,0,1000000,0.9873306558124397,5.262996108718768e-05,1.0000049160382938,1.0000007565752187
31,p-norm_inf,1,1000000,0.9913433431591999,2.5849912990358895e-05,1.0000038226073653,1.000000472756214
